level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1499	2000	-1	
2	1	1	0	0	0	136	763	103	197	-1	
3	1	1	1	0	0	136	763	112	197	-1	
4	1	1	1	1	0	136	763	103	197	-1	
5	1	1	1	1	1	136	763	103	197	51	ll
2	1	2	0	0	0	240	988	378	22	-1	
3	1	2	1	0	0	240	988	378	22	-1	
4	1	2	1	1	0	240	988	378	22	-1	
5	1	2	1	1	1	240	988	48	19	96	ESTE
5	1	2	1	1	2	295	988	108	19	96	DOCUMENTO
5	1	2	1	1	3	405	989	44	19	93	ES
5	1	2	1	1	4	457	990	161	20	91	INTRANSFERIBLE,
2	1	3	0	0	0	238	1017	659	113	-1	
3	1	3	1	0	0	240	1017	384	19	-1	
4	1	3	1	1	0	240	1017	384	19	-1	
5	1	3	1	1	1	240	1017	26	18	95	NO
5	1	3	1	1	2	282	1017	23	19	96	ES
5	1	3	1	1	3	321	1017	68	19	96	VALIDO
5	1	3	1	1	4	405	1017	16	19	78	SI
5	1	3	1	1	5	437	1017	101	19	93	PRESENTA
5	1	3	1	1	6	552	1018	72	18	90	TACHA-
3	1	3	2	0	0	239	1043	266	19	-1	
4	1	3	2	1	0	239	1043	266	19	-1	
5	1	3	2	1	1	239	1043	65	19	95	DURAS
5	1	3	2	1	2	315	1044	14	18	92	O
5	1	3	2	1	3	341	1043	164	19	91	ENMENDADURAS.
3	1	3	3	0	0	238	1065	659	65	-1	
4	1	3	3	1	0	238	1065	659	46	-1	
5	1	3	3	1	1	238	1085	22	18	96	EL
5	1	3	3	1	2	275	1085	78	18	95	TITULAR
5	1	3	3	1	3	369	1084	48	19	96	ESTA
5	1	3	3	1	4	432	1084	97	19	95	OBLIGADO
5	1	3	3	1	5	544	1085	12	17	93	A
5	1	3	3	1	6	570	1084	54	19	90	NOTI-
5	1	3	3	1	7	820	1077	6	34	8	S
5	1	3	3	1	8	850	1067	18	44	71	L
5	1	3	3	1	9	877	1065	20	41	43	A
4	1	3	3	2	0	238	1111	385	19	-1	
5	1	3	3	2	1	238	1112	55	18	93	FICAR
5	1	3	3	2	2	312	1112	21	17	76	EL
5	1	3	3	2	3	351	1111	74	19	95	CAMBIO
5	1	3	3	2	4	442	1112	26	17	94	DE
5	1	3	3	2	5	486	1111	96	18	94	DOMICILIO
5	1	3	3	2	6	599	1111	24	18	96	EN
2	1	4	0	0	0	236	1137	721	93	-1	
3	1	4	1	0	0	236	1137	387	20	-1	
4	1	4	1	1	0	236	1137	387	20	-1	
5	1	4	1	1	1	236	1137	38	20	88	LOS
5	1	4	1	1	2	285	1137	21	20	88	30
5	1	4	1	1	3	318	1137	44	20	96	DIAS
5	1	4	1	1	4	374	1137	115	20	96	SIGUIENTES
5	1	4	1	1	5	500	1137	13	18	96	A
5	1	4	1	1	6	525	1137	39	19	96	QUE
5	1	4	1	1	7	577	1137	46	18	96	ESTE
3	1	4	2	0	0	236	1157	721	73	-1	
4	1	4	2	1	0	236	1157	673	27	-1	
5	1	4	2	1	1	236	1164	87	20	55	OCURRA.
5	1	4	2	1	2	661	1157	92	19	96	EDMUNDO
5	1	4	2	1	3	759	1158	74	18	96	JACOBO
5	1	4	2	1	4	839	1158	70	18	96	MOLINA
4	1	4	2	2	0	660	1183	265	19	-1	
5	1	4	2	2	1	660	1183	118	19	96	SECRETARIO
5	1	4	2	2	2	784	1183	100	19	96	EJECUTIVO
5	1	4	2	2	3	891	1184	34	18	96	DEL
4	1	4	2	3	0	660	1210	297	20	-1	
5	1	4	2	3	1	660	1210	96	20	96	INSTITUTO
5	1	4	2	3	2	762	1210	83	19	96	FEDERAL
5	1	4	2	3	3	851	1210	106	20	96	ELECTORAL
2	1	5	0	0	0	0	0	1499	2000	-1	
3	1	5	1	0	0	0	0	1499	2000	-1	
4	1	5	1	1	0	0	0	1499	2000	-1	
5	1	5	1	1	1	0	0	1499	2000	95
