level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	960	1280	-1	
2	1	1	0	0	0	497	183	153	553	-1	
3	1	1	1	0	0	497	183	153	553	-1	
4	1	1	1	1	0	636	306	14	177	-1	
5	1	1	1	1	1	636	306	13	18	71	'TO
5	1	1	1	1	2	636	332	13	17	93	ES
5	1	1	1	1	3	636	357	14	126	91	INTRANSFERIBLE
4	1	1	1	2	0	612	292	15	201	-1	
5	1	1	1	2	1	612	292	6	4	74	O
5	1	1	1	2	2	612	315	14	8	88	SI
5	1	1	1	2	3	613	341	14	81	92	PRESENTA
5	1	1	1	2	4	613	435	14	58	91	TACHA-
4	1	1	1	3	0	589	226	16	165	-1	
5	1	1	1	3	1	589	226	4	4	69	¡S
5	1	1	1	3	2	590	244	13	9	87	O
5	1	1	1	3	3	590	264	15	127	57	ENMENDADURAS.
4	1	1	1	4	0	556	194	16	300	-1	
5	1	1	1	4	1	556	194	2	2	89	L
5	1	1	1	4	2	556	212	14	59	96	TITULAR
5	1	1	1	4	3	557	286	14	37	96	ESTA
5	1	1	1	4	4	557	336	15	79	96	OBLIGADO
5	1	1	1	4	5	558	428	14	10	93	A
5	1	1	1	4	6	558	450	14	44	80	NOTI-
4	1	1	1	5	0	533	184	17	311	-1	
5	1	1	1	5	1	533	184	14	40	92	FICAR
5	1	1	1	5	2	534	240	14	14	90	El
5	1	1	1	5	3	534	271	15	58	94	CAMBIO
5	1	1	1	5	4	535	344	14	20	96	DE
5	1	1	1	5	5	535	380	15	79	95	DOMICILIO
5	1	1	1	5	6	536	475	14	20	94	EN
4	1	1	1	6	0	512	183	17	311	-1	
5	1	1	1	6	1	512	183	14	26	94	LOS
5	1	1	1	6	2	512	220	14	14	94	30
5	1	1	1	6	3	513	246	14	32	96	DIAS
5	1	1	1	6	4	513	290	15	92	96	SIGUIENTES
5	1	1	1	6	5	514	392	14	10	96	A
5	1	1	1	6	6	514	412	15	32	96	QUE
5	1	1	1	6	7	514	456	15	38	95	ESTE
4	1	1	1	7	0	497	527	16	209	-1	
5	1	1	1	7	1	497	527	16	78	96	EDMUNDO
5	1	1	1	7	2	497	610	16	63	96	JACOBO
5	1	1	1	7	3	498	678	15	58	96	MOLINA
2	1	2	0	0	0	453	182	51	597	-1	
3	1	2	1	0	0	453	182	51	597	-1	
4	1	2	1	1	0	490	182	14	62	-1	
5	1	2	1	1	1	490	182	14	62	96	OCURRA.
4	1	2	1	2	0	475	526	17	225	-1	
5	1	2	1	2	1	475	526	16	100	94	SECRETARIO
5	1	2	1	2	2	476	631	16	85	96	EJECUTIVO
5	1	2	1	2	3	477	722	15	29	95	DEL
4	1	2	1	3	0	453	527	17	252	-1	
5	1	2	1	3	1	453	527	16	80	96	INSTITUTO
5	1	2	1	3	2	454	613	15	70	96	FEDERAL
5	1	2	1	3	3	454	688	16	91	96	ELECTORAL
2	1	3	0	0	0	228	389	160	141	-1	
3	1	3	1	0	0	228	389	177	141	-1	
4	1	3	1	1	0	361	460	27	5	-1	
5	1	3	1	1	1	349	434	56	31	33	+]
4	1	3	1	2	0	280	408	82	55	-1	
5	1	3	1	2	1	280	408	82	55	29	NN
4	1	3	1	3	0	228	389	68	141	-1	
5	1	3	1	3	1	291	389	5	12	0	h,
5	1	3	1	3	2	228	411	67	60	49	ada
5	1	3	1	3	3	293	524	2	6	0	;
2	1	4	0	0	0	261	471	14	163	-1	
3	1	4	1	0	0	261	471	14	163	-1	
4	1	4	1	1	0	261	471	14	163	-1	
5	1	4	1	1	1	261	471	12	8	36	'S
5	1	4	1	1	2	261	484	12	9	96	Y
5	1	4	1	1	3	261	498	14	136	78	EXTRAORDINARIAS.
2	1	5	0	0	0	298	118	358	39	-1	
3	1	5	1	0	0	298	118	358	39	-1	
4	1	5	1	1	0	637	130	19	27	-1	
5	1	5	1	1	1	637	130	19	27	68	=
4	1	5	1	2	0	610	129	18	27	-1	
5	1	5	1	2	1	610	129	18	27	73	o
4	1	5	1	3	0	582	128	19	27	-1	
5	1	5	1	3	1	582	128	19	27	65	LD
4	1	5	1	4	0	554	127	19	27	-1	
5	1	5	1	4	1	554	127	19	27	70	LD
4	1	5	1	5	0	526	126	19	27	-1	
5	1	5	1	5	1	526	126	19	27	30	LD
4	1	5	1	6	0	499	125	17	27	-1	
5	1	5	1	6	1	499	125	17	27	78	T
4	1	5	1	7	0	471	124	18	27	-1	
5	1	5	1	7	1	471	124	18	27	86	m
4	1	5	1	8	0	442	122	19	28	-1	
5	1	5	1	8	1	442	122	19	28	43	o
4	1	5	1	9	0	413	121	20	28	-1	
5	1	5	1	9	1	413	121	20	28	82	a
4	1	5	1	10	0	385	121	19	27	-1	
5	1	5	1	10	1	385	121	19	27	8	ne
4	1	5	1	11	0	356	119	19	28	-1	
5	1	5	1	11	1	356	119	19	28	54	A
4	1	5	1	12	0	327	118	20	29	-1	
5	1	5	1	12	1	327	118	20	29	82	o
4	1	5	1	13	0	298	118	20	28	-1	
5	1	5	1	13	1	298	118	20	28	72	fu
2	1	6	0	0	0	253	115	22	176	-1	
3	1	6	1	0	0	253	115	22	176	-1	
4	1	6	1	1	0	253	115	22	176	-1	
5	1	6	1	1	1	253	115	22	90	93	ELECCIONES
5	1	6	1	1	2	261	211	13	80	95	FEDERALES
2	1	7	0	0	0	0	0	960	1280	-1	
3	1	7	1	0	0	0	0	960	1280	-1	
4	1	7	1	1	0	0	0	960	1280	-1	
5	1	7	1	1	1	0	0	960	1280	95
