level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1094	667	-1	
2	1	1	0	0	0	39	0	18	162	-1	
3	1	1	1	0	0	39	0	18	162	-1	
4	1	1	1	1	0	39	0	18	162	-1	
5	1	1	1	1	1	39	0	18	162	48	AAA
2	1	2	0	0	0	22	173	46	363	-1	
3	1	2	1	0	0	22	173	46	363	-1	
4	1	2	1	1	0	37	173	31	20	-1	
5	1	2	1	1	1	37	173	31	20	21	-
4	1	2	1	2	0	36	201	30	21	-1	
5	1	2	1	2	1	36	201	30	21	87	o
4	1	2	1	3	0	35	230	30	20	-1	
5	1	2	1	3	1	35	230	30	20	85	LD
4	1	2	1	4	0	34	258	30	21	-1	
5	1	2	1	4	1	34	258	30	21	48	LD
4	1	2	1	5	0	32	287	30	20	-1	
5	1	2	1	5	1	32	287	30	20	70	LD
4	1	2	1	6	0	31	317	30	18	-1	
5	1	2	1	6	1	31	317	30	18	55	T
4	1	2	1	7	0	30	343	30	20	-1	
5	1	2	1	7	1	30	343	30	20	89	m
4	1	2	1	8	0	28	372	31	21	-1	
5	1	2	1	8	1	28	372	31	21	2	a]
4	1	2	1	9	0	26	400	31	21	-1	
5	1	2	1	9	1	26	400	31	21	78	o
4	1	2	1	10	0	25	429	31	20	-1	
5	1	2	1	10	1	25	429	31	20	63	n
4	1	2	1	11	0	24	458	31	20	-1	
5	1	2	1	11	1	24	458	31	20	19	a)
4	1	2	1	12	0	23	486	31	21	-1	
5	1	2	1	12	1	23	486	31	21	83	o
4	1	2	1	13	0	22	515	31	21	-1	
5	1	2	1	13	1	22	515	31	21	63	mu
2	1	3	0	0	0	17	538	117	75	-1	
3	1	3	1	0	0	17	538	117	75	-1	
4	1	3	1	1	0	17	538	117	75	-1	
5	1	3	1	1	1	17	538	117	75	95	 
2	1	4	0	0	0	242	0	852	444	-1	
3	1	4	1	0	0	242	0	852	444	-1	
4	1	4	1	1	0	242	0	852	239	-1	
5	1	4	1	1	1	242	0	852	239	95	   
4	1	4	1	2	0	418	239	630	57	-1	
5	1	4	1	2	1	418	239	630	57	95	  
4	1	4	1	3	0	418	296	630	22	-1	
5	1	4	1	3	1	418	296	630	22	95	 
4	1	4	1	4	0	796	318	157	68	-1	
5	1	4	1	4	1	796	318	157	68	95	   
4	1	4	1	5	0	295	386	150	58	-1	
5	1	4	1	5	1	295	386	150	58	95	 
2	1	5	0	0	0	95	185	322	64	-1	
3	1	5	1	0	0	95	185	322	64	-1	
4	1	5	1	1	0	98	185	315	22	-1	
5	1	5	1	1	1	98	185	36	15	96	ESTE
5	1	5	1	1	2	141	185	89	16	77	DOCUMENTO
5	1	5	1	1	3	231	187	37	15	93	ES
5	1	5	1	1	4	274	188	139	19	92	INTRANSFERIBLE,
4	1	5	1	2	0	96	209	321	20	-1	
5	1	5	1	2	1	96	209	21	15	91	NO
5	1	5	1	2	2	131	209	18	15	91	ES
5	1	5	1	2	3	162	210	56	15	96	VALIDO
5	1	5	1	2	4	230	210	14	16	74	SI
5	1	5	1	2	5	258	211	85	16	93	PRESENTA
5	1	5	1	2	6	356	213	61	16	93	TACHA-
4	1	5	1	3	0	95	230	219	19	-1	
5	1	5	1	3	1	95	230	52	16	96	DURAS
5	1	5	1	3	2	156	231	11	15	88	O
5	1	5	1	3	3	177	231	137	18	88	ENMENDADURAS.
2	1	6	0	0	0	92	265	324	43	-1	
3	1	6	1	0	0	92	265	324	43	-1	
4	1	6	1	1	0	94	265	322	21	-1	
5	1	6	1	1	1	94	265	15	14	76	EL
5	1	6	1	1	2	123	265	62	15	87	TITULAR
5	1	6	1	1	3	199	266	40	16	96	ESTA
5	1	6	1	1	4	251	267	83	17	96	OBLIGADO
5	1	6	1	1	5	347	270	10	14	92	A
5	1	6	1	1	6	369	270	47	16	81	NOTI-
4	1	6	1	2	0	92	287	323	21	-1	
5	1	6	1	2	1	92	287	44	15	68	FICAR
5	1	6	1	2	2	151	287	17	16	79	EL
5	1	6	1	2	3	184	288	61	16	94	CAMBIO
5	1	6	1	2	4	259	290	22	15	94	DE
5	1	6	1	2	5	296	290	83	18	95	DOMICILIO
5	1	6	1	2	6	395	293	20	15	96	EN
2	1	7	0	0	0	90	308	571	46	-1	
3	1	7	1	0	0	90	308	571	46	-1	
4	1	7	1	1	0	91	308	324	22	-1	
5	1	7	1	1	1	91	308	29	16	95	LOS
5	1	7	1	1	2	130	309	17	15	95	30
5	1	7	1	1	3	157	309	35	16	96	DIAS
5	1	7	1	1	4	202	310	96	18	96	SIGUIENTES
5	1	7	1	1	5	309	313	10	15	95	A
5	1	7	1	1	6	329	313	34	16	95	QUE
5	1	7	1	1	7	374	314	41	16	96	ESTE
4	1	7	1	2	0	90	330	571	24	-1	
5	1	7	1	2	1	90	330	66	16	84	OCURRA.
5	1	7	1	2	2	446	334	81	17	94	EDMUNDO
5	1	7	1	2	3	531	336	65	17	96	JACOBO
5	1	7	1	2	4	601	337	60	17	95	MOLINA
2	1	8	0	0	0	445	355	256	44	-1	
3	1	8	1	0	0	445	355	256	44	-1	
4	1	8	1	1	0	445	355	229	21	-1	
5	1	8	1	1	1	445	355	102	18	93	SECRETARIO
5	1	8	1	1	2	552	358	87	18	96	EJECUTIVO
5	1	8	1	1	3	644	360	30	16	95	DEL
4	1	8	1	2	0	445	378	256	21	-1	
5	1	8	1	2	1	445	378	82	17	96	INSTITUTO
5	1	8	1	2	2	532	380	72	17	96	FEDERAL
5	1	8	1	2	3	609	382	92	17	95	ELECTORAL
2	1	9	0	0	0	274	386	779	58	-1	
3	1	9	1	0	0	274	386	779	58	-1	
4	1	9	1	1	0	274	386	779	58	-1	
5	1	9	1	1	1	274	415	171	5	95	 
5	1	9	1	1	2	701	386	352	58	95	 
2	1	10	0	0	0	303	582	8	70	-1	
3	1	10	1	0	0	303	582	8	70	-1	
4	1	10	1	1	0	303	582	8	70	-1	
5	1	10	1	1	1	303	582	8	70	95	 
2	1	11	0	0	0	24	629	696	38	-1	
3	1	11	1	0	0	24	629	696	38	-1	
4	1	11	1	1	0	24	629	696	38	-1	
5	1	11	1	1	1	24	629	696	38	95	 
2	1	12	0	0	0	295	444	758	223	-1	
3	1	12	1	0	0	295	444	758	223	-1	
4	1	12	1	1	0	295	444	758	223	-1	
5	1	12	1	1	1	295	444	758	223	95
