level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	960	1280	-1	
2	1	1	0	0	0	789	91	33	66	-1	
3	1	1	1	0	0	789	91	33	66	-1	
4	1	1	1	1	0	789	91	33	66	-1	
5	1	1	1	1	1	789	91	33	66	16	20
2	1	2	0	0	0	651	335	105	124	-1	
3	1	2	1	0	0	651	83	112	376	-1	
4	1	2	1	1	0	651	335	105	124	-1	
5	1	2	1	1	1	651	335	105	124	1	e
2	1	3	0	0	0	563	169	65	337	-1	
3	1	3	1	0	0	563	169	65	337	-1	
4	1	3	1	1	0	610	172	18	330	-1	
5	1	3	1	1	1	612	172	16	40	96	ESTE
5	1	3	1	1	2	612	218	16	106	96	DOCUMENTO
5	1	3	1	1	3	612	331	16	20	93	ES
5	1	3	1	1	4	610	358	17	144	92	INTRANSFERIBLE,
4	1	3	1	2	0	586	170	18	336	-1	
5	1	3	1	2	1	588	170	16	23	96	NO
5	1	3	1	2	2	588	207	16	20	96	ES
5	1	3	1	2	3	588	241	16	58	96	VALIDO
5	1	3	1	2	4	587	313	17	13	69	SI
5	1	3	1	2	5	587	341	16	88	93	PRESENTA
5	1	3	1	2	6	586	444	16	62	92	TACHA-
4	1	3	1	3	0	563	169	18	227	-1	
5	1	3	1	3	1	564	169	17	55	96	DURAS
5	1	3	1	3	2	564	235	17	11	92	O
5	1	3	1	3	3	563	257	17	139	88	ENMENDADURAS.
2	1	4	0	0	0	415	165	130	640	-1	
3	1	4	1	0	0	527	168	18	338	-1	
4	1	4	1	1	0	527	168	18	338	-1	
5	1	4	1	1	1	529	168	16	18	92	EL
5	1	4	1	1	2	528	200	17	66	95	TITULAR
5	1	4	1	1	3	527	280	18	42	95	ESTA
5	1	4	1	1	4	527	335	18	87	96	OBLIGADO
5	1	4	1	1	5	528	436	15	10	90	A
5	1	4	1	1	6	527	459	16	47	59	NOTI-
3	1	4	2	0	0	504	167	18	340	-1	
4	1	4	2	1	0	504	167	18	340	-1	
5	1	4	2	1	1	505	167	17	47	93	FICAR
5	1	4	2	1	2	505	230	16	18	80	EL
5	1	4	2	1	3	504	264	18	65	95	CAMBIO
5	1	4	2	1	4	505	345	16	22	96	DE
5	1	4	2	1	5	504	383	17	86	94	DOMICILIO
5	1	4	2	1	6	504	486	16	21	94	EN
3	1	4	3	0	0	480	166	18	340	-1	
4	1	4	3	1	0	480	166	18	340	-1	
5	1	4	3	1	1	481	166	17	31	96	LOS
5	1	4	3	1	2	481	208	17	17	96	30
5	1	4	3	1	3	481	236	17	38	96	DIAS
5	1	4	3	1	4	481	285	17	101	96	SIGUIENTES
5	1	4	3	1	5	482	397	15	11	96	A
5	1	4	3	1	6	481	419	16	34	96	QUE
5	1	4	3	1	7	480	466	17	40	96	ESTE
3	1	4	4	0	0	415	165	64	640	-1	
4	1	4	4	1	0	458	165	21	596	-1	
5	1	4	4	1	1	458	165	17	70	95	OCURRA.
5	1	4	4	1	2	462	541	17	82	96	EDMUNDO
5	1	4	4	1	3	462	628	16	66	96	JACOBO
5	1	4	4	1	4	462	699	16	62	96	MOLINA
4	1	4	4	2	0	439	540	17	236	-1	
5	1	4	4	2	1	439	540	17	105	96	SECRETARIO
5	1	4	4	2	2	439	651	16	89	96	EJECUTIVO
5	1	4	4	2	3	439	746	16	30	96	DEL
4	1	4	4	3	0	415	540	17	265	-1	
5	1	4	4	3	1	416	540	16	85	96	INSTITUTO
5	1	4	4	3	2	416	631	16	73	95	FEDERAL
5	1	4	4	3	3	415	710	17	95	96	ELECTORAL
2	1	5	0	0	0	251	95	389	46	-1	
3	1	5	1	0	0	251	95	389	46	-1	
4	1	5	1	1	0	589	107	51	34	-1	
5	1	5	1	1	1	589	107	51	34	87	5
4	1	5	1	2	0	559	106	21	32	-1	
5	1	5	1	2	1	559	106	21	32	70	e
4	1	5	1	3	0	529	104	21	33	-1	
5	1	5	1	3	1	529	104	21	33	77	o
4	1	5	1	4	0	498	103	22	32	-1	
5	1	5	1	4	1	498	103	22	32	45	LD
