level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1512	2016	-1	
2	1	1	0	0	0	0	0	1512	2016	-1	
3	1	1	1	0	0	0	0	1512	2016	-1	
4	1	1	1	1	0	0	0	1512	2016	-1	
5	1	1	1	1	1	0	0	1512	2016	95	 
2	1	2	0	0	0	926	790	24	46	-1	
3	1	2	1	0	0	926	790	24	46	-1	
4	1	2	1	1	0	926	790	24	46	-1	
5	1	2	1	1	1	926	790	24	46	41	ve
2	1	3	0	0	0	806	291	98	492	-1	
3	1	3	1	0	0	806	291	98	492	-1	
4	1	3	1	1	0	870	297	34	479	-1	
5	1	3	1	1	1	881	297	23	57	96	ESTE
5	1	3	1	1	2	878	364	25	154	96	DOCUMENTO
5	1	3	1	1	3	877	527	24	30	93	ES
5	1	3	1	1	4	870	567	29	209	92	INTRANSFERIBLE,
4	1	3	1	2	0	837	294	31	489	-1	
5	1	3	1	2	1	846	294	22	30	96	NO
5	1	3	1	2	2	845	347	23	27	96	ES
5	1	3	1	2	3	843	396	23	82	95	VALIDO
5	1	3	1	2	4	842	499	24	21	83	Si
5	1	3	1	2	5	840	541	25	129	93	PRESENTA
5	1	3	1	2	6	837	690	25	93	89	TACHA-
4	1	3	1	3	0	806	291	29	335	-1	
5	1	3	1	3	1	811	291	24	79	96	DURAS
5	1	3	1	3	2	811	387	23	13	92	O
5	1	3	1	3	3	806	418	27	208	91	ENMENDADURAS.
2	1	4	0	0	0	751	289	32	492	-1	
3	1	4	1	0	0	751	289	32	492	-1	
4	1	4	1	1	0	751	289	32	492	-1	
5	1	4	1	1	1	760	289	23	24	80	El
5	1	4	1	1	2	758	334	24	95	82	TITULAR
5	1	4	1	1	3	756	451	24	60	95	ESTA
5	1	4	1	1	4	753	530	26	127	96	OBLIGADO
5	1	4	1	1	5	754	676	22	16	93	A
5	1	4	1	1	6	751	711	24	70	85	NOTI-
2	1	5	0	0	0	683	284	66	496	-1	
3	1	5	1	0	0	683	284	66	496	-1	
4	1	5	1	1	0	718	287	31	493	-1	
5	1	5	1	1	1	726	287	23	65	92	FICAR
5	1	5	1	1	2	724	377	24	26	95	El
5	1	5	1	1	3	721	428	26	92	96	CAMBIO
5	1	5	1	1	4	721	543	24	33	96	DE
5	1	5	1	1	5	718	599	26	126	96	DOMICILIO
5	1	5	1	1	6	718	749	23	31	96	EN
4	1	5	1	2	0	683	284	32	495	-1	
5	1	5	1	2	1	691	284	24	43	96	LOS
5	1	5	1	2	2	691	344	22	24	96	30
5	1	5	1	2	3	689	386	24	53	96	DIAS
5	1	5	1	2	4	685	456	27	145	96	SIGUIENTES
5	1	5	1	2	5	687	618	22	16	96	A
5	1	5	1	2	6	684	649	25	52	95	QUE
5	1	5	1	2	7	683	718	25	61	95	ESTE
2	1	6	0	0	0	582	826	98	391	-1	
3	1	6	1	0	0	582	826	98	391	-1	
4	1	6	1	1	0	652	828	28	324	-1	
5	1	6	1	1	1	655	828	25	121	96	EDMUNDO
5	1	6	1	1	2	653	957	25	97	96	JACOBO
5	1	6	1	1	3	652	1062	25	90	96	MOLINA
4	1	6	1	2	0	617	826	29	348	-1	
5	1	6	1	2	1	619	826	27	155	96	SECRETARIO
5	1	6	1	2	2	617	989	27	132	96	EJECUTIVO
5	1	6	1	2	3	617	1129	24	45	96	DEL
4	1	6	1	3	0	582	826	29	391	-1	
5	1	6	1	3	1	585	826	26	125	96	INSTITUTO
5	1	6	1	3	2	585	959	25	109	96	FEDERAL
5	1	6	1	3	3	582	1076	26	141	96	ELECTORAL
2	1	7	0	0	0	277	534	42	510	-1	
3	1	7	1	0	0	277	534	42	510	-1	
4	1	7	1	1	0	277	534	42	510	-1	
5	1	7	1	1	1	290	534	12	10	63	Z
5	1	7	1	1	2	279	599	28	146	37	LOCALES
5	1	7	1	1	3	277	754	42	242	53	VXTRAORDINARIAS
5	1	7	1	1	4	277	999	2	45	53	——
