level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1177	717	-1	
2	1	1	0	0	0	12	17	8	36	-1	
3	1	1	1	0	0	12	17	8	36	-1	
4	1	1	1	1	0	12	17	8	36	-1	
5	1	1	1	1	1	0	0	27	60	31	Y
2	1	2	0	0	0	45	17	35	38	-1	
3	1	2	1	0	0	45	17	35	38	-1	
4	1	2	1	1	0	45	17	35	38	-1	
5	1	2	1	1	1	45	17	35	38	61	NN
2	1	3	0	0	0	254	15	554	336	-1	
3	1	3	1	0	0	254	15	554	336	-1	
4	1	3	1	1	0	254	15	554	234	-1	
5	1	3	1	1	1	254	15	554	234	95	   
4	1	3	1	2	0	487	249	275	102	-1	
5	1	3	1	2	1	487	249	275	102	95	 
2	1	4	0	0	0	1058	29	59	186	-1	
3	1	4	1	0	0	1058	29	59	186	-1	
4	1	4	1	1	0	1058	29	59	186	-1	
5	1	4	1	1	1	1058	29	59	186	95	 
2	1	5	0	0	0	98	219	345	68	-1	
3	1	5	1	0	0	98	219	345	68	-1	
4	1	5	1	1	0	100	219	338	21	-1	
5	1	5	1	1	1	100	219	41	17	96	ESTE
5	1	5	1	1	2	147	219	108	18	96	DOCUMENTO
5	1	5	1	1	3	262	220	21	17	93	ES
5	1	5	1	1	4	290	220	148	20	92	INTRANSFERIBLE,
4	1	5	1	2	0	99	244	344	20	-1	
5	1	5	1	2	1	99	244	23	17	96	NO
5	1	5	1	2	2	136	244	20	17	96	ES
5	1	5	1	2	3	170	244	60	18	94	VALIDO
5	1	5	1	2	4	243	244	15	18	78	SI
5	1	5	1	2	5	273	245	91	18	93	PRESENTA
5	1	5	1	2	6	377	247	66	17	92	TACHA-
4	1	5	1	3	0	98	267	235	20	-1	
5	1	5	1	3	1	98	267	57	18	96	DURAS
5	1	5	1	3	2	164	267	13	18	92	O
5	1	5	1	3	3	187	268	146	19	92	ENMENDADURAS.
2	1	6	0	0	0	98	304	345	44	-1	
3	1	6	1	0	0	98	304	345	44	-1	
4	1	6	1	1	0	98	304	344	21	-1	
5	1	6	1	1	1	98	304	19	16	92	EL
5	1	6	1	1	2	130	304	67	18	92	TITULAR
5	1	6	1	1	3	211	304	43	19	96	ESTA
5	1	6	1	1	4	267	305	89	19	96	OBLIGADO
5	1	6	1	1	5	370	308	11	15	93	A
5	1	6	1	1	6	394	307	48	18	86	NOTI-
4	1	6	1	2	0	98	327	345	21	-1	
5	1	6	1	2	1	98	327	47	17	93	FICAR
5	1	6	1	2	2	161	328	19	16	95	EL
5	1	6	1	2	3	195	328	67	18	95	CAMBIO
5	1	6	1	2	4	277	329	23	17	95	DE
5	1	6	1	2	5	316	329	88	19	95	DOMICILIO
5	1	6	1	2	6	421	331	22	16	96	EN
2	1	7	0	0	0	32	207	685	387	-1	
3	1	7	1	0	0	33	207	409	174	-1	
4	1	7	1	1	0	36	207	32	21	-1	
5	1	7	1	1	1	36	207	32	21	47	O
4	1	7	1	2	0	35	237	33	22	-1	
5	1	7	1	2	1	35	237	33	22	30	LD
4	1	7	1	3	0	34	268	33	22	-1	
5	1	7	1	3	1	34	268	33	22	71	n
4	1	7	1	4	0	34	298	32	22	-1	
5	1	7	1	4	1	34	298	32	22	81	o
4	1	7	1	5	0	34	328	32	23	-1	
5	1	7	1	5	1	34	328	32	23	21	LD
4	1	7	1	6	0	33	350	409	31	-1	
5	1	7	1	6	1	33	359	33	22	35	Uy
5	1	7	1	6	2	97	350	32	18	67	195
5	1	7	1	6	3	139	351	18	18	91	30
5	1	7	1	6	4	168	351	38	18	96	DIAS
5	1	7	1	6	5	217	352	102	18	96	SIGUIENTES
5	1	7	1	6	6	330	354	12	15	96	A
5	1	7	1	6	7	352	353	36	18	96	QUE
5	1	7	1	6	8	400	354	42	18	96	ESTE
3	1	7	2	0	0	32	373	685	221	-1	
