level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	960	1280	-1	
2	1	1	0	0	0	48	0	764	197	-1	
3	1	1	1	0	0	48	0	764	197	-1	
4	1	1	1	1	0	48	0	764	197	-1	
5	1	1	1	1	1	48	0	764	197	95	       
2	1	2	0	0	0	57	171	488	25	-1	
3	1	2	1	0	0	57	171	488	25	-1	
4	1	2	1	1	0	57	171	488	25	-1	
5	1	2	1	1	1	57	171	488	25	95	   
2	1	3	0	0	0	57	196	753	76	-1	
3	1	3	1	0	0	57	196	753	76	-1	
4	1	3	1	1	0	57	196	753	76	-1	
5	1	3	1	1	1	57	197	227	75	95	 
5	1	3	1	1	2	613	196	197	1	95	 
2	1	4	0	0	0	494	250	15	17	-1	
3	1	4	1	0	0	494	250	15	17	-1	
4	1	4	1	1	0	494	250	15	17	-1	
5	1	4	1	1	1	494	250	15	17	48	p
2	1	5	0	0	0	460	280	69	188	-1	
3	1	5	1	0	0	460	280	69	188	-1	
4	1	5	1	1	0	460	280	69	105	-1	
5	1	5	1	1	1	460	280	69	105	60	E
4	1	5	1	2	0	474	340	55	128	-1	
5	1	5	1	2	1	474	340	55	128	7	A.
2	1	6	0	0	0	57	197	753	101	-1	
3	1	6	1	0	0	57	197	753	101	-1	
4	1	6	1	1	0	57	197	753	101	-1	
5	1	6	1	1	1	57	272	227	26	95	 
5	1	6	1	1	2	613	197	197	75	95	 
2	1	7	0	0	0	391	195	210	87	-1	
3	1	7	1	0	0	372	193	229	89	-1	
4	1	7	1	1	0	473	196	128	52	-1	
5	1	7	1	1	1	372	193	229	55	38	1-1
4	1	7	1	2	0	391	195	169	87	-1	
5	1	7	1	2	1	391	195	169	87	16	el
2	1	8	0	0	0	0	272	810	216	-1	
3	1	8	1	0	0	0	272	810	216	-1	
4	1	8	1	1	0	0	272	810	216	-1	
5	1	8	1	1	1	0	291	19	12	95	 
5	1	8	1	1	2	112	298	172	13	95	 
5	1	8	1	1	3	613	272	197	216	95	   
2	1	9	0	0	0	81	311	379	177	-1	
3	1	9	1	0	0	81	311	379	177	-1	
4	1	9	1	1	0	81	311	379	177	-1	
5	1	9	1	1	1	81	311	379	177	95	  
2	1	10	0	0	0	587	240	15	245	-1	
3	1	10	1	0	0	587	240	15	245	-1	
4	1	10	1	1	0	587	240	15	245	-1	
5	1	10	1	1	1	587	483	3	2	4	TN
5	1	10	1	1	2	587	360	15	121	0	BlIISNVH
5	1	10	1	1	3	0	0	960	1280	27	NI
5	1	10	1	1	4	588	336	14	18	66	S3
5	1	10	1	1	5	587	240	15	91	2	OLNIANIOO
2	1	11	0	0	0	566	259	15	230	-1	
3	1	11	1	0	0	566	259	15	230	-1	
4	1	11	1	1	0	566	259	15	230	-1	
5	1	11	1	1	1	566	434	14	55	68	WHOWL
5	1	11	1	1	2	566	345	14	77	25	WIN3SIHH
5	1	11	1	1	3	566	320	15	13	84	IS
5	1	11	1	1	4	566	259	14	51	51	OQITVA
2	1	12	0	0	0	0	488	810	792	-1	
3	1	12	1	0	0	0	488	810	792	-1	
4	1	12	1	1	0	0	488	810	792	-1	
5	1	12	1	1	1	0	488	810	792	95
